xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.600     0.000   0.570125   0.020258   0.009921   0.030179   0.000000  -0.000000  -0.138765   0.000000  -0.000000   50.0000     0.0564
    7.700     0.000   0.576913   0.020749   0.010033   0.030782   0.000000  -0.000000  -0.140270   0.000000   0.000000   50.0000     0.0563
    7.800     0.000   0.583684   0.021240   0.010149   0.031389   0.000000  -0.000000  -0.141758   0.000000   0.000000   50.0000     0.0562
    7.900     0.000   0.590407   0.021732   0.010266   0.031998   0.000000  -0.000000  -0.143218   0.000000   0.000000   50.0000     0.0561
    8.000     0.000   0.597137   0.022230   0.010381   0.032611   0.000000  -0.000000  -0.144681   0.000000   0.000000   50.0000     0.0560
    8.100     0.000   0.603935   0.022734   0.010492   0.033226   0.000000  -0.000000  -0.146163   0.000000   0.000000   50.0000     0.0560
    8.200     0.000   0.610701   0.023247   0.010604   0.033850   0.000000  -0.000000  -0.147641   0.000000  -0.000000   50.0000     0.0559
    8.300     0.000   0.617467   0.023766   0.010710   0.034476   0.000000  -0.000000  -0.149116   0.000000   0.000000   50.0000     0.0558
    8.400     0.000   0.624215   0.024292   0.010814   0.035106   0.000000  -0.000000  -0.150581   0.000000  -0.000000   50.0000     0.0557
    8.500     0.000   0.630946   0.024823   0.010917   0.035740   0.000000  -0.000000  -0.152034   0.000000   0.000000   50.0000     0.0556
    8.600     0.000   0.637631   0.025356   0.011024   0.036380   0.000000  -0.000000  -0.153465   0.000000  -0.000000   50.0000     0.0556
    8.700     0.000   0.644358   0.025897   0.011120   0.037017   0.000000  -0.000000  -0.154905   0.000000   0.000000   50.0000     0.0555
    8.800     0.000   0.651009   0.026440   0.011224   0.037664   0.000000  -0.000000  -0.156313   0.000000   0.000000   50.0000     0.0554
    8.900     0.000   0.657723   0.026986   0.011330   0.038316   0.000000  -0.000000  -0.157741   0.000000  -0.000000   50.0000     0.0553
    9.000     0.000   0.664419   0.027541   0.011434   0.038976   0.000000  -0.000000  -0.159166   0.000000   0.000000   50.0000     0.0552
    9.100     0.000   0.671104   0.028101   0.011541   0.039642   0.000000  -0.000000  -0.160584   0.000000   0.000000   50.0000     0.0551
    9.200     0.000   0.677735   0.028664   0.011659   0.040322   0.000000  -0.000000  -0.161983   0.000000   0.000000   50.0000     0.0551
    9.300     0.000   0.684539   0.029239   0.011778   0.041017   0.000000  -0.000000  -0.163465   0.000000   0.000000   50.0000     0.0550
    9.400     0.000   0.691585   0.029840   0.011893   0.041734   0.000000  -0.000000  -0.165079   0.000000   0.000000   50.0000     0.0549
    9.500     0.000   0.698693   0.030443   0.012019   0.042462   0.000000  -0.000000  -0.166719   0.000000   0.000000   50.0000     0.0549
    9.600     0.000   0.705749   0.031052   0.012159   0.043212   0.000000  -0.000000  -0.168355   0.000000   0.000000   50.0000     0.0549
    9.700     0.000   0.712920   0.031685   0.012297   0.043982   0.000000  -0.000000  -0.170067   0.000000   0.000000   50.0000     0.0549
    9.800     0.000   0.720589   0.032350   0.012429   0.044780   0.000000  -0.000000  -0.172019   0.000000   0.000000   50.0000     0.0549
    9.900     0.000   0.728271   0.033032   0.012562   0.045594   0.000000  -0.000000  -0.173996   0.000000   0.000000   50.0000     0.0549
   10.000     0.000   0.736076   0.033721   0.012695   0.046416   0.000000  -0.000000  -0.176021  -0.000000  -0.000000   50.0000     0.0549
   10.100     0.000   0.743849   0.034429   0.012826   0.047255   0.000000   0.000000  -0.178056   0.000000  -0.000000   50.0000     0.0550
   10.200     0.000   0.751712   0.035153   0.012954   0.048107   0.000000  -0.000000  -0.180142   0.000000   0.000000   50.0000     0.0550
   10.300     0.000   0.759651   0.035879   0.013102   0.048981   0.000000  -0.000000  -0.182269   0.000000   0.000000   50.0000     0.0551
   10.400     0.000   0.767587   0.036616   0.013255   0.049871   0.000000  -0.000000  -0.184410   0.000000   0.000000   50.0000     0.0551
   10.500     0.000   0.775665   0.037373   0.013416   0.050788   0.000000  -0.000000  -0.186635   0.000000   0.000000   50.0000     0.0552
   10.600     0.000   0.783895   0.038156   0.013554   0.051710   0.000000  -0.000000  -0.188926  -0.000000  -0.000000   50.0000     0.0553
   10.700     0.000   0.792336   0.038949   0.013693   0.052643   0.000000  -0.000000  -0.191305   0.000000   0.000000   50.0000     0.0554
   10.800     0.000   0.800773   0.039770   0.013828   0.053599   0.000000  -0.000000  -0.193713   0.000000   0.000000   50.0000     0.0555
   10.900     0.000   0.809092   0.040600   0.013963   0.054563   0.000000  -0.000000  -0.196078   0.000000   0.000000   50.0000     0.0556
   11.000     0.000   0.816753   0.041382   0.014094   0.055477   0.000000  -0.000000  -0.198108   0.000000   0.000000   50.0000     0.0556
   11.100     0.000   0.823436   0.042075   0.014225   0.056300   0.000000  -0.000000  -0.199624   0.000000   0.000000   50.0000     0.0555
   11.200     0.000   0.829616   0.042742   0.014370   0.057112   0.000000  -0.000000  -0.200922   0.000000   0.000000   50.0000     0.0555
   11.300     0.000   0.835358   0.043384   0.014517   0.057901   0.000000  -0.000000  -0.202016   0.000000   0.000000   50.0000     0.0554
   11.400     0.000   0.840729   0.043998   0.014676   0.058674   0.000000  -0.000000  -0.202930   0.000000  -0.000000   50.0000     0.0552
   11.500     0.000   0.845913   0.044597   0.014844   0.059441   0.000000  -0.000000  -0.203758   0.000000  -0.000000   50.0000     0.0551
   11.600     0.000   0.851382   0.045209   0.015005   0.060215   0.000000  -0.000000  -0.204703   0.000000   0.000000   50.0000     0.0550
   11.700     0.000   0.856239   0.045777   0.015163   0.060940   0.000000  -0.000000  -0.205352   0.000000   0.000000   50.0000     0.0548
   11.800     0.000   0.861405   0.046366   0.015318   0.061685   0.000000  -0.000000  -0.206142   0.000000   0.000000   50.0000     0.0546
   11.900     0.000   0.866749   0.046967   0.015480   0.062447   0.000000  -0.000000  -0.207019   0.000000   0.000000   50.0000     0.0545
   12.000     0.000   0.871870   0.047570   0.015657   0.063227   0.000000  -0.000000  -0.207833   0.000000   0.000000   50.0000     0.0544
   12.100     0.000   0.877081   0.048171   0.015845   0.064016   0.000000   0.000000  -0.208688  -0.000000  -0.000000   50.0000     0.0542
   12.200     0.000   0.882642   0.048817   0.016019   0.064836   0.000000  -0.000000  -0.209726   0.000000   0.000000   50.0000     0.0541
   12.300     0.000   0.887640   0.049425   0.016193   0.065618   0.000000  -0.000000  -0.210506   0.000000   0.000000   50.0000     0.0540
   12.400     0.000   0.892672   0.050010   0.016379   0.066389   0.000000  -0.000000  -0.211276   0.000000   0.000000   50.0000     0.0539
   12.500     0.000   0.897655   0.050607   0.016575   0.067183   0.000000  -0.000000  -0.212058   0.000000   0.000000   50.0000     0.0537
   12.600     0.000   0.902519   0.051183   0.016790   0.067973   0.000000  -0.000000  -0.212785   0.000000   0.000000   50.0000     0.0536
   12.700     0.000   0.907354   0.051765   0.017009   0.068774   0.000000  -0.000000  -0.213517   0.000000   0.000000   50.0000     0.0535
   12.800     0.000   0.912527   0.052404   0.017217   0.069622   0.000000  -0.000000  -0.214441   0.000000   0.000000   50.0000     0.0534
   12.900     0.000   0.917760   0.053046   0.017431   0.070477   0.000000  -0.000000  -0.215397  -0.000000  -0.000000   50.0000     0.0533
   13.000     0.000   0.922990   0.053691   0.017652   0.071343   0.000000  -0.000000  -0.216366   0.000000   0.000000   50.0000     0.0532
   13.100     0.000   0.928131   0.054320   0.017883   0.072203   0.000000  -0.000000  -0.217296   0.000000   0.000000   50.0000     0.0531
   13.200     0.000   0.933112   0.054968   0.018113   0.073082   0.000000  -0.000000  -0.218194   0.000000   0.000000   50.0000     0.0530
   13.300     0.000   0.937807   0.055527   0.018352   0.073879   0.000000  -0.000000  -0.218887   0.000000   0.000000   50.0000     0.0528
   13.400     0.000   0.942410   0.056098   0.018597   0.074695   0.000000  -0.000000  -0.219573   0.000000   0.000000   50.0000     0.0527
   13.500     0.000   0.946980   0.056669   0.018854   0.075524   0.000000  -0.000000  -0.220262   0.000000   0.000000   50.0000     0.0526
